,name,gender,origin,meaning
TACITUS,TACITUS,['m'],['Ancient Roman'],"Roman cognomen which meant ""silent, mute"" in Latin. This was the name of a 1st-century Roman historian."
TAD,TAD,['m'],['English'],Short form of THADDEUS.
TADALA,TADALA,"['m', 'f']","['Southern African', 'Chewa']","Means ""we have been blessed"" in Chewa."
TADAS,TADAS,['m'],['Lithuanian'],Lithuanian form of THADDEUS.
TADDEO,TADDEO,['m'],['Italian'],Italian form of THADDEUS.
TADEJ,TADEJ,['m'],['Slovene'],Slovene form of THADDEUS.
TADEO,TADEO,['m'],['Spanish'],Spanish form of THADDEUS.
TADESSE,TADESSE,['m'],"['Eastern African', 'Amharic']","Means ""revived"" in Amharic."
TADEU,TADEU,['m'],['Portuguese'],Portuguese form of THADDEUS.
TADEUSZ,TADEUSZ,['m'],['Polish'],Polish form of THADDEUS.
TADEÁŠ,TADEÁŠ,['m'],"['Czech', 'Slovak']",Czech and Slovak form of THADDEUS.
